co_fat_cidadao_pec,no_cidadao,dt_registro_nascimento,ds_sexo,nu_cns,nu_cpf_cidadao,nu_telefone_celular,st_faleceu,dt_ultima_atualizacao_cidadao,st_diabetes_diagnosticada,st_hipertensao_diagnosticada,nu_ine,no_equipe,data_ultimo_atend_individual,equipe_ine_atendimento,equipe_nome_atendimento,nu_atend_ubs_ultimos_12_meses,data_transmissao
700001,FULANO GUIMARAES,1953-09-13,MASCULINO,809128729848533,21538306809,(17) 91656-3636,0,2024-09-06 10:30:00,1,1,0001234568,ESF 2,2026-04-25,0001234568,ESF 2,7,2026-08-01
700002,SICRANA DA QUEIROZ,1957-04-02,FEMININO,841697025738919,02143265001,(16) 93876-5699,0,2025-11-30 08:45:00,0,1,0001234567,ESF  1 ,2025-01-11,0001234567,ESF  1 ,0,2026-08-01
700003,BELTRANO GALVAO DOS VALADARES,1956-01-16,MASCULINO,776522362311604,86608325402,(14) 95364-3598,0,2025-07-22 11:00:00,1,1,0001234570,ESF 4,2026-06-05,0001234570,ESF 4,3,2026-08-01
700004,CICRANO TEIXEIRA DA SALGADO,1960-03-07,MASCULINO,867782033144585,67869832007,(16) 98646-7753,0,2025-03-11 12:00:00,0,1,0001234573,ESF 7,2026-06-27,0001234573,ESF 7,4,2026-08-01
700005,SICRANA NOGUEIRA DE MARINHO,1949-12-21,FEMININO,756252719727040,96575879218,(13) 94452-8509,0,2026-01-09 16:20:00,0,1,0001234568,ESF 2,2025-11-25,0001234568,ESF 2,3,2026-08-01
700006,SICRANA NOGUEIRA QUEIROZ,1968-01-07,FEMININO,831578215449000,38618155404,(17) 97462-7109,0,2025-09-12 12:20:00,0,1,0001234569,ESF 3,2024-07-14,0001234569,ESF 3,0,2026-08-01
700007,SICRANO DE HUNGRIA,1952-09-23,MASCULINO,829091055841716,11449418652,(16) 91613-4530,0,2026-04-10 08:00:00,1,1,0001234572,ESF 5,2026-03-14,0001234572,ESF 5,1,2026-08-01
700008,FULANO ORNELAS GALVAO,1963-03-04,MASCULINO,757353879917059,46233093717,(16) 91153-9753,0,2024-10-01 14:15:00,1,1,0001234568,ESF 2,2023-04-27,0001234568,ESF 2,0,2026-08-01
700009,FULANO CARVALHO DE SALGADO,1968-07-09,MASCULINO,791691579955459,60173439633,(17) 93812-5594,0,2025-04-21 11:20:00,0,1,0001234570,ESF 4,2026-03-02,0001234570,ESF 4,7,2026-08-01
700010,FULANA REZENDE BITTENCOURT,1986-01-14,FEMININO,869554003869878,13352279382,(19) 94866-5194,0,2025-02-02 15:00:00,0,1,0001234568,ESF 2,2024-06-04,0001234568,ESF 2,0,2026-08-01
700011,BELTRANO ALBUQUERQUE DE GALVAO,1948-09-18,MASCULINO,887150632005408,31865634299,(16) 93454-7795,0,2025-07-17 11:40:00,1,1,0001234572,ESF 5,2026-05-12,0001234572,ESF 5,9,2026-08-01
700012,,1948-03-25,FEMININO,782181970950910,54375436701,(11) 97849-2591,0,2024-12-06 08:30:00,0,1,0001234567,ESF  1 ,2025-12-07,0001234567,ESF  1 ,1,2026-08-01
